Order ID,Ingredient ID,Ingredient Description,Cost,Quantity,Location,,
10,0001',Watermelon,7.23,1,Good Fortune Supermarket,,
10,0002',Green Grapes,4.93,1,Good Fortune Supermarket,,
10,0003',Red Grapes,4.88,1,Good Fortune Supermarket,,
10,0004',Honeydew Melon,8.18,1,Good Fortune Supermarket,,
10,0005',Strawberries,3.99,1,Good Fortune Supermarket,,
10,0006',Blueberries,6.99,1,Good Fortune Supermarket,,
10,1000',Reusable Bags,0.46,2,Good Fortune Supermarket,,
13,0111',Heavy Cream,9.99,1,Smart & Final,,
13,0112',Butter,4.49,1,Smart & Final,,
13,0010',Pillsburry Moist Chocolate Cake,1.99,1,Smart & Final,,
13,0011',Twix Funsize,6.49,1,Smart & Final,,
13,0012',Reeses Peanut Butter Cups,4.39,1,Smart & Final,,
13,0013',M&M Milk Chocolates,4.49,1,Smart & Final,,
13,0014',Kit Kat Minis,4.39,1,Smart & Final,,
13,0048',Torani Puremade Caramel,4.99,1,Smart & Final,,
13,0016',Intl Delight Pumpkin Spice,3.99,1,Target,,
13,2000',White Sugar,16.69,1,Costco,,
13,1000',Reusable Bags,0.1,1,Smart & Final,,
11,0113',Cream Cheese,10.69,1,Costco,,
11,3000',Eggs,4.99,1,Costco,TOTAL = ,1946.35
12,0007',Banana,0.49,2,Smart & Final,,
12,0114',2% Reduced Fat Milk,1.99,1,Smart & Final,,
12,0111',Heavy Cream,9.99,1,Smart & Final,,
11,0115',Evaporated Milk,1.39,1,Smart & Final,,
11,0116',Condensed Milk,2.99,1,Smart & Final,,
11,1000',Reusable Bags,0.1,1,Smart & Final,,
11,0005',Strawberries,5,2,Aldi,,
11,0017',Chocolate Bar,1,1,Aldi,,
16,0018',Pillsburry Cookie Dough,10.58,2,Ralphs,,
16,0114',2% Reduced Fat Milk,2.79,1,Ralphs,,
16,0111',Heavy Cream,19.98,2,Smart & Final,,
16,0112',Butter,5.99,1,Smart & Final,,
16,3000',Eggs,3.99,1,Smart & Final,,
16,0017',Chocolate Bar,5.98,2,Smart & Final,,
16,0005',Strawberries,12.58,2,Costco,,
16,0006',Blueberries,5.49,1,Costco,,
16,0113',Cream Cheese,21.38,2,Costco,,
17,0113',Cream Cheese,23.97,3,Costco,,
17,0019',Graham Crackers,8.99,1,Costco,,
17,0112',Butter,14.39,1,Costco,,
17,0020',Oreos,15.38,2,Costco,,
19,3000',Eggs,5.49,1,Costco,,
18,0007',Banana,1.28,4,Smart & Final,,
17,0008',Mangoes,3.56,4,Smart & Final,,
18,0111',Heavy Cream,20.98,2,Smart & Final,,
17,0114',2% Reduced Fat Milk,4.38,2,Smart & Final,,
18,0115',Evaporated Milk,1.39,1,Smart & Final,,
18,0021',Yellow Cake Mix,2.49,1,Smart & Final,,
18,0116',Condensed Milk,2.89,1,Smart & Final,,
19,0006',Blueberries,1.96,1,Aldi,,
20,0005',Strawberries,10.86,4,Aldi,,
20,0008',Mangoes,3.58,2,Good Fortune Supermarket,,
20,0009',Mint,2.98,1,Good Fortune Supermarket,,
21,0022',Strawberry Filled Cookies,4.99,1,Super A Foods,,
22,0111',Heavy Cream,20.98,2,Smart & Final,,
22,0017',Chocolate Bar,2.5,1,Smart & Final,,
22,0114',2% Reduced Fat Milk,1.99,1,Smart & Final,,
22,0023',Puff Pastry,23.69,1,Smart & Final,,
22,2001',Brown Sugar,3.79,1,Smart & Final,,
22,0024',Nilla Wafers,2.29,1,Smart & Final,,
22,1000',Reusable Bags,0.2,2,Smart & Final,,
23,0002',Green Grapes,6.99,1,Good Fortune Supermarket,,
23,0025',Canteloupe,4.89,1,Good Fortune Supermarket,,
23,0004',Honeydew Melon,4.63,1,Good Fortune Supermarket,,
23,0006',Blueberries,1.29,1,Good Fortune Supermarket,,
22,0007',Banana,0.46,2,Good Fortune Supermarket,,
23,0008',Mangoes,2,1,Ralphs,,
23,0026',Pineapple,2.5,1,Smart & Final,,
23,0027',Blackberries,5.99,1,Smart & Final,,
23,0001',Watermelon,7.99,1,Smart & Final,,
23,0028',Torani Mango Syrup,6.99,1,Smart & Final,,
23,0029',Canned Sliced Peaches,2.99,1,Smart & Final,,
23,0030',Apricot Jam,3.49,1,Smart & Final,,
23,1000',Reusable Bags,0.1,1,Smart & Final,,
23,0006',Blueberries,2.49,1,Smart & Final,,
23,0031',Raspberries,4.98,2,Smart & Final,,
24,0111',Heavy Cream,10.49,1,Smart & Final,,
23,0115',Evaporated Milk,1.29,1,Smart & Final,,
23,0021',Yellow Cake Mix,2.49,1,Smart & Final,,
23,1000',Reusable Bags,0.1,1,Smart & Final,,
25,0005',Strawberries,11.25,3,Aldi,,
25,0039',Bi-Color Grapes,5.98,1,Aldi,,
25,0008',Mangoes,2.67,3,Aldi,,
25,0018',Pillsburry Cookie Dough,8.98,2,Target,,
25,0115',2% Reduced Fat Milk,2.49,1,Target,,
25,0027',Blackberries,4,2,Smart & Final,,
25,0006',Blueberries,4,2,Smart & Final,,
25,0001',Watermelon,3.99,1,Smart & Final,,
25,0025',Canteloupe,5.32,1,Smart & Final,,
25,0115',2% Reduced Fat Milk,1.79,1,Smart & Final,,
25,0033',Sephara Fondue Chocolate Chips,16,2,Smart & Final,,
25,0034',White Chocolate Chips,4.99,1,Smart & Final,,
25,0004',Honeydew Melon,3.02,1,Good Fortune Supermarket,,
25,0113',Cream Cheese,32.97,3,Costco,,
25,3000',Eggs,13.29,1,Costco,,
26,0111',Heavy Cream,10.49,1,Smart & Final,,
26,0116',Condensed Milk,2.39,1,Smart & Final,,
26,0008',Mangoes,3.58,2,Good Fortune Supermarket,,
26,0006',Blueberries,3.99,1,Good Fortune Supermarket,,
26,0005',Strawberries,3.59,1,Aldi,,
27,0111',Heavy Cream,10.49,1,Smart & Final,,
27,0019',Graham Crackers,8.99,1,Costco,,
27,0113',Cream Cheese,21.98,2,Costco,,
27,0002',Green Grapes,4.99,1,Aldi,,
27,0005',Strawberries,11.58,3,Aldi,,
27,0035',Frozen Strawberries,18.69,1,Smart & Final,,
27,0025',Cantaloupe,4.76,1,Hawaii Supermarket,,
27,0001',Watermelon,3.53,1,Hawaii Supermarket,,
27,0004',Honeydew Melon,4.52,1,Hawaii Supermarket,,
28,0009',Mint,2.99,1,Smart & Final,,
28,0031',Raspberries,1.78,1,Aldi,,
28,0015',2% Reduced Fat Milk,1.79,1,Smart & Final,,
29,0036',Brownie Brittle Salted,8.99,1,Smart & Final,,
29,0037',Fudge Browni Mix,1.24,1,Aldi,,
27,0038',Matcha Powder,10.71,1,Amazon,,
30,0113',Cream Cheese,21.98,2,Costco,,
30,0008',Mangoes,2,4,Asian Supermarket,,
30,0001',Watermelon,3.99,1,Smart & Final,,
30,0004',Honeydew Melon,6.3,1,Smart & Final,,
30,0026',Pineapple,2.5,1,Smart & Final,,
30,0025',Cantaloupe,3.07,1,Smart & Final,,
30,0005',Strawberries,7.98,2,Smart & Final,,
30,0039',Bi-Color Grapes,5.99,1,Smart & Final,,
30,0006',Blueberries,4.99,1,Smart & Final,,
30,0015',2% Reduced Fat Milk,1.99,1,Smart & Final,,
30,0017',Chocolate Bar,2.99,1,Smart & Final,,
31,0040',Cookie Butter,3.99,1,Trader Joe's,,
31,0041',Chocolate Chip Cookies,4.99,1,Trader Joe's,,
32,0111',Heavy Cream,17.98,2,Smart & Final,,
34,0005',Strawberries,11.97,3,Smart & Final,,
34,0006',Blueberries,2.99,1,Smart & Final,,
33,0111',Heavy Cream,7.99,1,Super A Foods,,
33,0115',Evaporated Milk,2.19,1,Super A Foods,,
33,0008',Mangoes,1.5,2,Super A Foods,,
1,000',No Ingredients Recorded,114.01,1,NA,,
2,000',No Ingredients Recorded,18.66,1,NA,,
3,000',No Ingredients Recorded,9.04,1,NA,,
4,000',No Ingredients Recorded,20.15,1,NA,,
5,000',No Ingredients Recorded,16.86,1,NA,,
6,000',No Ingredients Recorded,5.48,1,NA,,
7,000',No Ingredients Recorded,65.06,1,NA,,
8,000',No Ingredients Recorded,65.06,1,NA,,
9,000',No Ingredients Recorded,65.06,1,NA,,
14,000',No Ingredients Recorded,0,1,NA,,
15,000',No Ingredients Recorded,0,1,NA,,
35,0008',Mangoes,3.58,2,Good Fortune Supermarket,,
35,0006',Blueberries,3.99,1,Good Fortune Supermarket,,
36,0111',Heavy Cream,10.49,1,Smart & Final,,
37,0006',Blueberries,7.99,1,Smart & Final,,
37,0005',Strawberries,20.97,3,Smart & Final,,
37,0111',Heavy Cream,10.49,1,Smart & Final,,
37,0015',2% Reduced Fat Milk,2.69,1,Smart & Final,,
37,0115',Evaporated Milk,1.39,1,Smart & Final,,
37,0017',Chocolate Bar,5.98,2,Smart & Final,,
37,0042',Powdered Sugar,3.79,1,Smart & Final,,
37,0021',Yellow Cake Mix,7.49,1,Smart & Final,,
37,0113',Cream Cheese,11.49,1,Smart & Final,,
37,0023',Puff Pastry,24.99,1,Smart & Final,,
38,0008',Mangoes,3.87,3,Good Fortune Supermarket,,
39,0113',Cream Cheese,17.99,1,Smart & Final,,
39,0008',Mangoes,4.56,4,Smart & Final,,
39,0015',2% Reduced Fat Milk,1.79,1,Smart & Final,,
39,0111',Heavy Cream,10.49,1,Smart & Final,,
40,0005',Strawberries,11.98,2,Smart & Final,,
40,0006',Blueberries,3.99,1,Smart & Final,,
41,0042',Powdered Sugar,37.99,1,Costco,,
41,0043',Pastry Tart Shells,7.49,1,168 Supermarket,,
41,0044',Chocolate Chip Cookie Dough,19.49,1,Smart & Final,,
41,0018',Pillsbury Cookie Dough,8.98,2,Target,,
41,0008',Mangoes,2.98,2,Smart & Final,,
41,0005',Strawberries,5.98,2,Smart & Final,,
41,0006',Blueberries,3.49,1,Smart & Final,,
41,0015',2% Reduced Fat Milk,2.59,1,Smart & Final,,
41,0111',Heavy Cream,20.98,2,Smart & Final,,
42,0115',Evaporated Milk,1.39,1,Smart & Final,,
42,0116',Condensed Milk,2.39,1,Smart & Final,,
42,0020',Oreos,12.99,1,Smart & Final,,
42,0045',Nutella,8.99,1,Smart & Final,,
42,0019',Graham Crackers,4.49,1,Smart & Final,,
41,0113',Cream Cheese,30,3,Costco,,
43,0039',Bi-Color Grapes,11.98,2,Smart & Final,,
43,3000',Eggs,5.49,1,Smart & Final,,
43,0046',Kiwi,5.99,1,Good Fortune Supermarket,,
43,0026',Pineapple,3.98,2,Hmart,,
43,0004',Honeydew Melon,4.99,1,Hmart,,
43,0025',Cantaloupe,3.99,1,Hmart,,
43,0008',Mangoes,3.96,4,Hmart,,
43,0001',Watermelon,4.99,1,Hmart,,
43,0002',Grapes,4.05,1,Hmart,,
43,0005',Strawberries,15.92,4,Sams Club,,
43,0006',Blueberries,5.62,1,Sams Club,,
43,0023',Puff Pastry,24.99,1,Smart & Final,,
44,0005',Strawberries,2.98,1,Good Fortune Supermarket,,
44,0008',Mangoes,3.58,2,Good Fortune Supermarket,,
44,0111',Heavy Cream,10.49,1,Smart & Final,,
44,0047',Graham Cracker Crust,15.99,1,Smart & Final,,
45,0006',Blueberries,2.99,1,Smart & Final,,
45,0031',Raspberries,3.49,1,Smart & Final,,
45,0027',Blackberries,3.19,1,Smart & Final,,
45,0015',2% Reduced Fat Milk,2.59,1,Smart & Final,,
45,0024',Nilla Wafers,7.99,1,Smart & Final,,
45,0007',Banana,0.19,1,Smart & Final,,
45,0115',Evaporated Milk,1.19,1,Smart & Final,,
46,0113',Cream Cheese,19.98,2,Costco,,
46,0111',Heavy Cream,20.98,2,Smart & Final,,
46,0008',Mangoes,5.37,3,Good Fortune Supermarket,,
46,0005',Strawberries,9.98,2,Smart & Final,,
47,0005',Strawberries,10,4,Smart & Final,,
47,0004',Honeydew Melon,7.23,1,Smart & Final,,
47,0025',Cantaloupe,3.85,1,Smart & Final,,
47,0001',Watermelon,4.49,1,Smart & Final,,
47,0006',Blueberries,7.99,1,Smart & Final,,
47,0026',Pineapple,2,1,Smart & Final,,
47,0015',2% Reduced Fat Milk,2.59,1,Smart & Final,,
47,0044',Chocolate Chip Cookie Dough,19.49,1,Smart & Final,,
47,0113',Cream Cheese,29.97,3,Costco,,
48,0008',Mangoes,3.99,2,Good Fortune Supermarket,,
48,0004',Honeydew Melon,5.22,1,Good Fortune Supermarket,,
48,0005',Strawberries,6.87,3,Aldi,,
48,0031',Raspberries,2.59,1,Aldi,,
48,0039',Bi-Color Grapes,5.99,1,Smart & Final,,
48,0006',Blueberries,5.99,1,Smart & Final,,
48,0026',Pineapple,2.99,1,Smart & Final,,
48,0001',Watermelon,4.99,1,Smart & Final,,
48,0025',Cantaloupe,2.92,1,Smart & Final,,
48,0015',2% Reduced Fat Milk,1.79,1,Smart & Final,,
48,0111',Heavy Cream,10.49,1,Smart & Final,,
48,0033',Sephara Fondue Chocolate Chips,15.99,1,Smart & Final,,
